dayhour,cnt
2013-06-12 21,710
2013-06-12 22,562
2013-06-12 23,384
2013-06-13 00,218
2013-06-13 01,102
2013-06-13 02,49
2013-06-13 03,31
2013-06-13 04,33
2013-06-13 05,50
2013-06-13 06,166
2013-06-13 07,285
2013-06-13 08,562
2013-06-13 09,547
2013-06-13 10,237
2013-06-13 11,124
2013-06-13 12,371
2013-06-13 13,510
2013-06-13 14,483
2013-06-13 15,508
2013-06-13 16,630
2013-06-13 17,1231
2013-06-13 18,1301
2013-06-13 19,348
2013-06-13 20,103
2013-06-13 21,51
2013-06-13 22,37
2013-06-13 23,39
2013-06-14 00,34
2013-06-14 01,7
2013-06-14 02,7
2013-06-14 03,5
2013-06-14 04,12
2013-06-14 05,29
2013-06-14 06,174
2013-06-14 07,326
2013-06-14 08,1052
2013-06-14 09,819
2013-06-14 10,543
2013-06-14 11,564
2013-06-14 12,807
2013-06-14 13,933
2013-06-14 14,1027
2013-06-14 15,1117
2013-06-14 16,1287
2013-06-14 17,1194
2013-06-14 18,1349
2013-06-14 19,1223
2013-06-14 20,871
2013-06-14 21,607
2013-06-14 22,527
2013-06-14 23,428
2013-06-15 00,350
2013-06-15 01,223
2013-06-15 02,124
2013-06-15 03,92
2013-06-15 04,56
2013-06-15 05,34
2013-06-15 06,59
2013-06-15 07,175
2013-06-15 08,379
2013-06-15 09,628
2013-06-15 10,1057
2013-06-15 11,1412
2013-06-15 12,1806
2013-06-15 13,2040
2013-06-15 14,2199
2013-06-15 15,2457
2013-06-15 16,2341
2013-06-15 17,2279
2013-06-15 18,2071
2013-06-15 19,1730
2013-06-15 20,1270
2013-06-15 21,918
2013-06-15 22,817
2013-06-15 23,661
2013-06-16 00,473
2013-06-16 01,349
2013-06-16 02,251
2013-06-16 03,121
2013-06-16 04,76
2013-06-16 05,59
2013-06-16 06,97
2013-06-16 07,158
2013-06-16 08,317
2013-06-16 09,591
2013-06-16 10,970
2013-06-16 11,1345
2013-06-16 12,1709
2013-06-16 13,2035
2013-06-16 14,2013
2013-06-16 15,2074
2013-06-16 16,1917
2013-06-16 17,1784
2013-06-16 18,1503
2013-06-16 19,1396
2013-06-16 20,1093
2013-06-16 21,799
2013-06-16 22,484
2013-06-16 23,352
2013-06-17 00,197
2013-06-17 01,112
2013-06-17 02,45
2013-06-17 03,26
2013-06-17 04,27
2013-06-17 05,72
2013-06-17 06,310
2013-06-17 07,697
2013-06-17 08,1443
2013-06-17 09,1208
2013-06-17 10,663
2013-06-17 11,723
2013-06-17 12,903
2013-06-17 13,1047
2013-06-17 14,963
2013-06-17 15,635
2013-06-17 16,1158
2013-06-17 17,2075
2013-06-17 18,2347
2013-06-17 19,1846
2013-06-17 20,1294
2013-06-17 21,769
2013-06-17 22,679
2013-06-17 23,420
2013-06-18 00,233
2013-06-18 01,103
2013-06-18 02,68
2013-06-18 03,25
2013-06-18 04,35
2013-06-18 05,91
2013-06-18 06,374
2013-06-18 07,863
2013-06-18 08,1714
2013-06-18 09,1376
2013-06-18 10,748
2013-06-18 11,784
2013-06-18 12,984
2013-06-18 13,1017
2013-06-18 14,905
2013-06-18 15,830
2013-06-18 16,399
2013-06-18 17,728
2013-06-18 18,346
2013-06-18 19,376
2013-06-18 20,534
2013-06-18 21,515
2013-06-18 22,432
2013-06-18 23,244
2013-06-19 00,189
2013-06-19 01,71
2013-06-19 02,40
2013-06-19 03,23
2013-06-19 04,26
2013-06-19 05,77
2013-06-19 06,357
2013-06-19 07,889
2013-06-19 08,1708
2013-06-19 09,1399
2013-06-19 10,796
2013-06-19 11,929
2013-06-19 12,1144
2013-06-19 13,1226
2013-06-19 14,1126
2013-06-19 15,1218
2013-06-19 16,1348
2013-06-19 17,2433
2013-06-19 18,2794
2013-06-19 19,2201
2013-06-19 20,1644
2013-06-19 21,1140
2013-06-19 22,823
2013-06-19 23,541
2013-06-20 00,276
2013-06-20 01,164
2013-06-20 02,84
2013-06-20 03,35
2013-06-20 04,35
2013-06-20 05,95
2013-06-20 06,403
2013-06-20 07,1028
2013-06-20 08,1996
2013-06-20 09,1595
2013-06-20 10,928
2013-06-20 11,954
2013-06-20 12,1328
2013-06-20 13,1346
2013-06-20 14,1289
2013-06-20 15,1303
2013-06-20 16,1554
2013-06-20 17,2732
2013-06-20 18,2954
2013-06-20 19,2300
2013-06-20 20,1665
2013-06-20 21,1108
2013-06-20 22,803
2013-06-20 23,628
2013-06-21 00,537
2013-06-21 01,192
2013-06-21 02,99
2013-06-21 03,56
2013-06-21 04,44
2013-06-21 05,91
2013-06-21 06,409
2013-06-21 07,971
2013-06-21 08,2014
2013-06-21 09,1785
2013-06-21 10,974
2013-06-21 11,1075
2013-06-21 12,1465
2013-06-21 13,1569
2013-06-21 14,1699
2013-06-21 15,1727
2013-06-21 16,2106
2013-06-21 17,2759
2013-06-21 18,2450
2013-06-21 19,1959
2013-06-21 20,1456
2013-06-21 21,1037
2013-06-21 22,840
2013-06-21 23,683
2013-06-22 00,486
2013-06-22 01,282
2013-06-22 02,219
2013-06-22 03,111
2013-06-22 04,75
2013-06-22 05,63
2013-06-22 06,91
2013-06-22 07,221
2013-06-22 08,477
2013-06-22 09,894
2013-06-22 10,1284
2013-06-22 11,1794
2013-06-22 12,2034
2013-06-22 13,2444
2013-06-22 14,2498
2013-06-22 15,2560
2013-06-22 16,2575
2013-06-22 17,2628
2013-06-22 18,2208
2013-06-22 19,2071
2013-06-22 20,1501
2013-06-22 21,1070
2013-06-22 22,955
2013-06-22 23,740
2013-06-23 00,607
2013-06-23 01,393
2013-06-23 02,271
2013-06-23 03,202
2013-06-23 04,100
2013-06-23 05,68
2013-06-23 06,105
2013-06-23 07,219
2013-06-23 08,436
2013-06-23 09,837
2013-06-23 10,1334
2013-06-23 11,1867
2013-06-23 12,2232
2013-06-23 13,2370
2013-06-23 14,2428
2013-06-23 15,2384
2013-06-23 16,2394
2013-06-23 17,2310
2013-06-23 18,2234
2013-06-23 19,1730
2013-06-23 20,1409
2013-06-23 21,1003
2013-06-23 22,639
2013-06-23 23,493
2013-06-24 00,234
2013-06-24 01,104
2013-06-24 02,54
2013-06-24 03,27
2013-06-24 04,37
2013-06-24 05,102
2013-06-24 06,489
2013-06-24 07,1022
2013-06-24 08,1883
2013-06-24 09,1466
2013-06-24 10,834
2013-06-24 11,867
2013-06-24 12,1053
2013-06-24 13,1149
2013-06-24 14,1069
2013-06-24 15,1208
2013-06-24 16,1468
2013-06-24 17,2560
2013-06-24 18,2769
2013-06-24 19,2161
2013-06-24 20,1434
2013-06-24 21,1077
2013-06-24 22,711
2013-06-24 23,473
2013-06-25 00,235
2013-06-25 01,113
2013-06-25 02,86
2013-06-25 03,42
2013-06-25 04,43
2013-06-25 05,124
2013-06-25 06,549
2013-06-25 07,1282
2013-06-25 08,2352
2013-06-25 09,1748
2013-06-25 10,939
2013-06-25 11,962
2013-06-25 12,1312
2013-06-25 13,1277
2013-06-25 14,1208
2013-06-25 15,1285
2013-06-25 16,1625
2013-06-25 17,2607
2013-06-25 18,2972
2013-06-25 19,2365
2013-06-25 20,1841
2013-06-25 21,1375
2013-06-25 22,973
2013-06-25 23,512
2013-06-26 00,271
2013-06-26 01,135
2013-06-26 02,88
2013-06-26 03,57
2013-06-26 04,33
2013-06-26 05,137
2013-06-26 06,591
2013-06-26 07,1238
2013-06-26 08,2444
2013-06-26 09,1909
2013-06-26 10,1080
2013-06-26 11,1145
2013-06-26 12,1374
2013-06-26 13,1433
2013-06-26 14,1306
2013-06-26 15,1448
2013-06-26 16,1651
2013-06-26 17,2918
2013-06-26 18,3038
2013-06-26 19,2361
2013-06-26 20,1803
2013-06-26 21,1305
2013-06-26 22,1084
2013-06-26 23,650
2013-06-27 00,318
2013-06-27 01,141
2013-06-27 02,81
2013-06-27 03,40
2013-06-27 04,37
2013-06-27 05,136
2013-06-27 06,569
2013-06-27 07,1181
2013-06-27 08,2325
2013-06-27 09,1835
2013-06-27 10,1091
2013-06-27 11,1011
2013-06-27 12,1325
2013-06-27 13,1065
2013-06-27 14,1112
2013-06-27 15,1381
2013-06-27 16,1646
2013-06-27 17,2111
2013-06-27 18,2290
2013-06-27 19,2019
2013-06-27 20,1471
2013-06-27 21,387
2013-06-27 22,361
2013-06-27 23,401
2013-06-28 00,257
2013-06-28 01,141
2013-06-28 02,87
2013-06-28 03,42
2013-06-28 04,50
2013-06-28 05,116
2013-06-28 06,518
2013-06-28 07,1132
2013-06-28 08,2232
2013-06-28 09,1801
2013-06-28 10,1019
2013-06-28 11,1160
2013-06-28 12,1462
2013-06-28 13,1606
2013-06-28 14,1533
2013-06-28 15,1645
2013-06-28 16,2186
2013-06-28 17,2857
2013-06-28 18,2646
2013-06-28 19,1676
2013-06-28 20,1152
2013-06-28 21,971
2013-06-28 22,818
2013-06-28 23,711
2013-06-29 00,502
2013-06-29 01,337
2013-06-29 02,230
2013-06-29 03,135
2013-06-29 04,96
2013-06-29 05,68
2013-06-29 06,126
2013-06-29 07,284
2013-06-29 08,546
2013-06-29 09,890
2013-06-29 10,1401
2013-06-29 11,1784
2013-06-29 12,2251
2013-06-29 13,2439
2013-06-29 14,2505
2013-06-29 15,2601
2013-06-29 16,2382
2013-06-29 17,2455
2013-06-29 18,2295
2013-06-29 19,2027
2013-06-29 20,1587
2013-06-29 21,1116
2013-06-29 22,943
2013-06-29 23,753
2013-06-30 00,702
2013-06-30 01,386
2013-06-30 02,265
2013-06-30 03,175
2013-06-30 04,106
2013-06-30 05,73
2013-06-30 06,112
2013-06-30 07,226
2013-06-30 08,457
2013-06-30 09,805
2013-06-30 10,1257
2013-06-30 11,1683
2013-06-30 12,1999
2013-06-30 13,2228
2013-06-30 14,2357
2013-06-30 15,1355
2013-06-30 16,1407
2013-06-30 17,1941
2013-06-30 18,1947
2013-06-30 19,1766
2013-06-30 20,1460
2013-06-30 21,990
2013-06-30 22,784
2013-06-30 23,428
2013-07-01 00,230
2013-07-01 01,106
2013-07-01 02,74
2013-07-01 03,41
2013-07-01 04,37
2013-07-01 05,128
2013-07-01 06,442
2013-07-01 07,875
2013-07-01 08,1738
2013-07-01 09,955
2013-07-01 10,258
2013-07-01 11,182
2013-07-01 12,438
2013-07-01 13,514
2013-07-01 14,456
2013-07-01 15,586
2013-07-01 16,885
2013-07-01 17,1750
2013-07-01 18,1989
2013-07-01 19,1729
2013-07-01 20,1275
2013-07-01 21,870
2013-07-01 22,672
2013-07-01 23,421
2013-07-02 00,229
2013-07-02 01,100
2013-07-02 02,57
2013-07-02 03,49
2013-07-02 04,30
2013-07-02 05,92
2013-07-02 06,490
2013-07-02 07,1127
2013-07-02 08,1963
2013-07-02 09,1416
2013-07-02 10,881
2013-07-02 11,853
2013-07-02 12,985
2013-07-02 13,833
2013-07-02 14,1106
2013-07-02 15,1113
2013-07-02 16,1596
2013-07-02 17,2715
2013-07-02 18,2907
2013-07-02 19,2093
2013-07-02 20,562
2013-07-02 21,626
2013-07-02 22,497
2013-07-02 23,425
2013-07-03 00,237
2013-07-03 01,121
2013-07-03 02,73
2013-07-03 03,53
2013-07-03 04,28
2013-07-03 05,109
2013-07-03 06,501
2013-07-03 07,995
2013-07-03 08,2026
2013-07-03 09,1605
2013-07-03 10,933
2013-07-03 11,1008
2013-07-03 12,1364
2013-07-03 13,1589
2013-07-03 14,604
2013-07-03 15,1382
2013-07-03 16,1869
2013-07-03 17,2252
2013-07-03 18,1607
2013-07-03 19,813
2013-07-03 20,907
2013-07-03 21,736
2013-07-03 22,579
2013-07-03 23,473
2013-07-04 00,311
2013-07-04 01,220
2013-07-04 02,143
2013-07-04 03,94
2013-07-04 04,84
2013-07-04 05,45
2013-07-04 06,110
2013-07-04 07,193
2013-07-04 08,369
2013-07-04 09,628
2013-07-04 10,965
2013-07-04 11,1255
2013-07-04 12,1593
2013-07-04 13,1721
2013-07-04 14,1869
2013-07-04 15,1874
2013-07-04 16,1918
2013-07-04 17,1847
2013-07-04 18,1653
2013-07-04 19,1407
2013-07-04 20,1262
2013-07-04 21,757
2013-07-04 22,1260
2013-07-04 23,748
2013-07-05 00,421
2013-07-05 01,228
2013-07-05 02,151
2013-07-05 03,83
2013-07-05 04,50
2013-07-05 05,52
2013-07-05 06,226
2013-07-05 07,505
2013-07-05 08,940
2013-07-05 09,952
2013-07-05 10,837
2013-07-05 11,1085
2013-07-05 12,1407
2013-07-05 13,1528
2013-07-05 14,1607
2013-07-05 15,1624
2013-07-05 16,1621
2013-07-05 17,1773
2013-07-05 18,1685
2013-07-05 19,1486
2013-07-05 20,1222
2013-07-05 21,958
2013-07-05 22,758
2013-07-05 23,643
2013-07-06 00,423
2013-07-06 01,247
2013-07-06 02,203
2013-07-06 03,122
2013-07-06 04,89
2013-07-06 05,61
2013-07-06 06,103
2013-07-06 07,249
2013-07-06 08,460
2013-07-06 09,770
2013-07-06 10,1062
2013-07-06 11,1235
2013-07-06 12,1401
2013-07-06 13,1404
2013-07-06 14,1602
2013-07-06 15,1607
2013-07-06 16,1591
2013-07-06 17,1604
2013-07-06 18,1604
2013-07-06 19,1386
2013-07-06 20,1228
2013-07-06 21,826
2013-07-06 22,681
2013-07-06 23,509
2013-07-07 00,402
2013-07-07 01,281
2013-07-07 02,212
2013-07-07 03,121
2013-07-07 04,88
2013-07-07 05,60
2013-07-07 06,87
2013-07-07 07,192
2013-07-07 08,386
2013-07-07 09,693
2013-07-07 10,854
2013-07-07 11,1173
2013-07-07 12,1381
2013-07-07 13,1519
2013-07-07 14,1609
2013-07-07 15,1612
2013-07-07 16,1637
2013-07-07 17,1585
2013-07-07 18,1671
2013-07-07 19,1558
2013-07-07 20,1331
2013-07-07 21,949
2013-07-07 22,662
2013-07-07 23,414
2013-07-08 00,203
2013-07-08 01,119
2013-07-08 02,68
2013-07-08 03,35
2013-07-08 04,57
2013-07-08 05,155
2013-07-08 06,500
2013-07-08 07,1081
2013-07-08 08,1896
2013-07-08 09,1446
2013-07-08 10,798
2013-07-08 11,768
2013-07-08 12,1124
2013-07-08 13,1158
2013-07-08 14,1128
2013-07-08 15,1174
2013-07-08 16,1494
2013-07-08 17,2229
2013-07-08 18,1044
2013-07-08 19,1181
2013-07-08 20,1666
2013-07-08 21,1159
2013-07-08 22,684
2013-07-08 23,448
2013-07-09 00,236
2013-07-09 01,107
2013-07-09 02,57
2013-07-09 03,32
2013-07-09 04,32
2013-07-09 05,161
2013-07-09 06,656
2013-07-09 07,1268
2013-07-09 08,2362
2013-07-09 09,1777
2013-07-09 10,927
2013-07-09 11,951
2013-07-09 12,1157
2013-07-09 13,1149
2013-07-09 14,1082
2013-07-09 15,1173
2013-07-09 16,1547
2013-07-09 17,2837
2013-07-09 18,3249
2013-07-09 19,2427
2013-07-09 20,1161
2013-07-09 21,1030
2013-07-09 22,772
2013-07-09 23,491
2013-07-10 00,252
2013-07-10 01,98
2013-07-10 02,42
2013-07-10 03,35
2013-07-10 04,52
2013-07-10 05,163
2013-07-10 06,639
2013-07-10 07,1317
2013-07-10 08,1785
2013-07-10 09,1056
2013-07-10 10,817
2013-07-10 11,911
2013-07-10 12,1185
2013-07-10 13,1032
2013-07-10 14,1109
2013-07-10 15,1184
2013-07-10 16,1558
2013-07-10 17,2824
2013-07-10 18,2657
2013-07-10 19,2256
2013-07-10 20,1792
2013-07-10 21,1332
2013-07-10 22,991
2013-07-10 23,645
2013-07-11 00,328
2013-07-11 01,149
2013-07-11 02,73
2013-07-11 03,36
2013-07-11 04,32
2013-07-11 05,96
2013-07-11 06,505
2013-07-11 07,1194
2013-07-11 08,2250
2013-07-11 09,1675
2013-07-11 10,875
2013-07-11 11,957
2013-07-11 12,1270
2013-07-11 13,1108
2013-07-11 14,1074
2013-07-11 15,1226
2013-07-11 16,1302
2013-07-11 17,1937
2013-07-11 18,2049
2013-07-11 19,1923
2013-07-11 20,1471
2013-07-11 21,1202
2013-07-11 22,998
2013-07-11 23,687
2013-07-12 00,414
2013-07-12 01,206
2013-07-12 02,124
2013-07-12 03,65
2013-07-12 04,43
2013-07-12 05,118
2013-07-12 06,491
2013-07-12 07,1151
2013-07-12 08,1595
2013-07-12 09,1691
2013-07-12 10,999
2013-07-12 11,1007
2013-07-12 12,1343
2013-07-12 13,1458
2013-07-12 14,882
2013-07-12 15,1068
2013-07-12 16,1686
2013-07-12 17,1830
2013-07-12 18,1284
2013-07-12 19,679
2013-07-12 20,248
2013-07-12 21,286
2013-07-12 22,228
2013-07-12 23,110
2013-07-13 00,145
2013-07-13 01,160
2013-07-13 02,119
2013-07-13 03,94
2013-07-13 04,53
2013-07-13 05,46
2013-07-13 06,137
2013-07-13 07,259
2013-07-13 08,490
2013-07-13 09,907
2013-07-13 10,1251
2013-07-13 11,1732
2013-07-13 12,1975
2013-07-13 13,2286
2013-07-13 14,2394
2013-07-13 15,2170
2013-07-13 16,2289
2013-07-13 17,1834
2013-07-13 18,1867
2013-07-13 19,1799
2013-07-13 20,1469
2013-07-13 21,1022
2013-07-13 22,882
2013-07-13 23,739
2013-07-14 00,549
2013-07-14 01,413
2013-07-14 02,277
2013-07-14 03,190
2013-07-14 04,126
2013-07-14 05,65
2013-07-14 06,109
2013-07-14 07,219
2013-07-14 08,525
2013-07-14 09,890
2013-07-14 10,1295
2013-07-14 11,1743
2013-07-14 12,2105
2013-07-14 13,2173
2013-07-14 14,2422
2013-07-14 15,2250
2013-07-14 16,2450
2013-07-14 17,2299
2013-07-14 18,2361
2013-07-14 19,2218
2013-07-14 20,1842
2013-07-14 21,1330
2013-07-14 22,846
2013-07-14 23,590
2013-07-15 00,278
2013-07-15 01,115
2013-07-15 02,69
2013-07-15 03,35
2013-07-15 04,34
2013-07-15 05,148
2013-07-15 06,625
2013-07-15 07,1381
2013-07-15 08,2359
2013-07-15 09,1775
2013-07-15 10,925
2013-07-15 11,887
2013-07-15 12,1118
2013-07-15 13,1206
2013-07-15 14,1170
2013-07-15 15,1231
2013-07-15 16,1608
2013-07-15 17,3018
2013-07-15 18,3140
2013-07-15 19,2497
2013-07-15 20,1775
2013-07-15 21,1263
2013-07-15 22,857
2013-07-15 23,555
2013-07-16 00,298
2013-07-16 01,125
2013-07-16 02,72
2013-07-16 03,46
2013-07-16 04,41
2013-07-16 05,171
2013-07-16 06,674
2013-07-16 07,1504
2013-07-16 08,2736
2013-07-16 09,1993
2013-07-16 10,1052
2013-07-16 11,961
2013-07-16 12,1230
2013-07-16 13,1312
2013-07-16 14,1203
2013-07-16 15,1257
2013-07-16 16,1646
2013-07-16 17,3023
2013-07-16 18,3174
2013-07-16 19,2491
2013-07-16 20,1920
2013-07-16 21,1387
2013-07-16 22,945
2013-07-16 23,581
2013-07-17 00,355
2013-07-17 01,160
2013-07-17 02,101
2013-07-17 03,44
2013-07-17 04,34
2013-07-17 05,150
2013-07-17 06,668
2013-07-17 07,1434
2013-07-17 08,2576
2013-07-17 09,2032
2013-07-17 10,1112
2013-07-17 11,978
2013-07-17 12,1346
2013-07-17 13,1271
2013-07-17 14,1221
2013-07-17 15,1246
2013-07-17 16,1757
2013-07-17 17,2947
2013-07-17 18,3347
2013-07-17 19,2542
2013-07-17 20,1936
2013-07-17 21,1444
2013-07-17 22,1121
2013-07-17 23,728
2013-07-18 00,342
2013-07-18 01,137
2013-07-18 02,86
2013-07-18 03,51
2013-07-18 04,33
2013-07-18 05,118
2013-07-18 06,653
2013-07-18 07,1370
2013-07-18 08,2530
2013-07-18 09,1927
2013-07-18 10,981
2013-07-18 11,932
2013-07-18 12,1228
2013-07-18 13,1272
2013-07-18 14,1182
2013-07-18 15,1294
2013-07-18 16,1625
2013-07-18 17,2845
2013-07-18 18,2942
2013-07-18 19,2411
2013-07-18 20,1813
2013-07-18 21,1319
2013-07-18 22,1038
2013-07-18 23,740
2013-07-19 00,413
2013-07-19 01,211
2013-07-19 02,132
2013-07-19 03,65
2013-07-19 04,52
2013-07-19 05,123
2013-07-19 06,528
2013-07-19 07,1180
2013-07-19 08,2301
2013-07-19 09,1778
2013-07-19 10,958
2013-07-19 11,955
