dayhour,cnt
2014-05-02 01,167
2014-05-02 02,72
2014-05-02 03,27
2014-05-02 04,50
2014-05-02 05,152
2014-05-02 06,744
2014-05-02 07,1468
2014-05-02 08,2675
2014-05-02 09,2172
2014-05-02 10,1247
2014-05-02 11,1318
2014-05-02 12,1675
2014-05-02 13,1715
2014-05-02 14,1821
2014-05-02 15,1982
2014-05-02 16,2584
2014-05-02 17,3583
2014-05-02 18,3255
2014-05-02 19,2108
2014-05-02 20,1217
2014-05-02 21,837
2014-05-02 22,675
2014-05-02 23,536
2014-05-03 00,421
2014-05-03 01,270
2014-05-03 02,161
2014-05-03 03,110
2014-05-03 04,58
2014-05-03 05,60
2014-05-03 06,124
2014-05-03 07,281
2014-05-03 08,722
2014-05-03 09,1192
2014-05-03 10,1637
2014-05-03 11,2052
2014-05-03 12,2423
2014-05-03 13,2455
2014-05-03 14,2450
2014-05-03 15,2497
2014-05-03 16,2343
2014-05-03 17,1905
2014-05-03 18,1632
2014-05-03 19,801
2014-05-03 20,490
2014-05-03 21,579
2014-05-03 22,441
2014-05-03 23,397
2014-05-04 00,318
2014-05-04 01,211
2014-05-04 02,149
2014-05-04 03,75
2014-05-04 04,54
2014-05-04 05,50
2014-05-04 06,108
2014-05-04 07,223
2014-05-04 08,477
2014-05-04 09,768
2014-05-04 10,1135
2014-05-04 11,1521
2014-05-04 12,1821
2014-05-04 13,1781
2014-05-04 14,1759
2014-05-04 15,1946
2014-05-04 16,2052
2014-05-04 17,1506
2014-05-04 18,1678
2014-05-04 19,1433
2014-05-04 20,877
2014-05-04 21,590
2014-05-04 22,469
2014-05-04 23,276
2014-05-05 00,135
2014-05-05 01,49
2014-05-05 02,29
2014-05-05 03,16
2014-05-05 04,33
2014-05-05 05,171
2014-05-05 06,745
2014-05-05 07,1572
2014-05-05 08,2767
2014-05-05 09,1972
2014-05-05 10,1001
2014-05-05 11,1037
2014-05-05 12,1376
2014-05-05 13,1442
2014-05-05 14,1449
2014-05-05 15,1582
2014-05-05 16,2020
2014-05-05 17,3421
2014-05-05 18,3444
2014-05-05 19,2391
2014-05-05 20,1502
2014-05-05 21,1000
2014-05-05 22,729
2014-05-05 23,405
2014-05-06 00,188
2014-05-06 01,98
2014-05-06 02,42
2014-05-06 03,45
2014-05-06 04,54
2014-05-06 05,186
2014-05-06 06,819
2014-05-06 07,1764
2014-05-06 08,3059
2014-05-06 09,2249
2014-05-06 10,1200
2014-05-06 11,1105
2014-05-06 12,1392
2014-05-06 13,1455
2014-05-06 14,1520
2014-05-06 15,1590
2014-05-06 16,2032
2014-05-06 17,3528
2014-05-06 18,3619
2014-05-06 19,2501
2014-05-06 20,1599
2014-05-06 21,1032
2014-05-06 22,736
2014-05-06 23,420
2014-05-07 00,226
2014-05-07 01,106
2014-05-07 02,41
2014-05-07 03,24
2014-05-07 04,51
2014-05-07 05,157
2014-05-07 06,862
2014-05-07 07,1758
2014-05-07 08,3269
2014-05-07 09,2350
2014-05-07 10,1317
2014-05-07 11,1278
2014-05-07 12,1584
2014-05-07 13,1689
2014-05-07 14,1548
2014-05-07 15,1669
2014-05-07 16,2164
2014-05-07 17,3517
2014-05-07 18,3482
2014-05-07 19,2213
2014-05-07 20,1403
2014-05-07 21,944
2014-05-07 22,782
2014-05-07 23,448
2014-05-08 00,227
2014-05-08 01,90
2014-05-08 02,16
2014-05-08 03,7
2014-05-08 04,12
2014-05-08 05,36
2014-05-08 06,178
2014-05-08 07,359
2014-05-08 08,668
2014-05-08 09,549
2014-05-08 10,373
2014-05-08 11,577
2014-05-08 12,788
2014-05-08 13,839
2014-05-08 14,921
2014-05-08 15,1133
2014-05-08 16,1439
2014-05-08 17,2321
2014-05-08 18,2356
2014-05-08 19,1736
2014-05-08 20,1090
2014-05-08 21,815
2014-05-08 22,660
2014-05-08 23,429
2014-05-09 00,261
2014-05-09 01,157
2014-05-09 02,71
2014-05-09 03,15
2014-05-09 04,28
2014-05-09 05,117
2014-05-09 06,490
2014-05-09 07,881
2014-05-09 08,1949
2014-05-09 09,1786
2014-05-09 10,1055
2014-05-09 11,935
2014-05-09 12,1052
2014-05-09 13,1258
2014-05-09 14,1353
2014-05-09 15,1439
2014-05-09 16,1930
2014-05-09 17,2562
2014-05-09 18,1936
2014-05-09 19,1143
2014-05-09 20,761
2014-05-09 21,536
2014-05-09 22,507
2014-05-09 23,419
2014-05-10 00,327
2014-05-10 01,222
2014-05-10 02,165
2014-05-10 03,66
2014-05-10 04,60
2014-05-10 05,36
2014-05-10 06,99
2014-05-10 07,274
2014-05-10 08,564
2014-05-10 09,990
2014-05-10 10,1445
2014-05-10 11,1820
2014-05-10 12,2240
2014-05-10 13,2369
2014-05-10 14,1977
2014-05-10 15,1480
2014-05-10 16,1911
2014-05-10 17,1068
2014-05-10 18,1139
2014-05-10 19,1233
2014-05-10 20,747
2014-05-10 21,614
2014-05-10 22,541
2014-05-10 23,445
2014-05-11 00,130
2014-05-11 01,160
2014-05-11 02,132
2014-05-11 03,71
2014-05-11 04,63
2014-05-11 05,58
2014-05-11 06,103
2014-05-11 07,218
2014-05-11 08,540
2014-05-11 09,990
2014-05-11 10,1479
2014-05-11 11,1945
2014-05-11 12,2213
2014-05-11 13,2522
2014-05-11 14,2575
2014-05-11 15,2472
2014-05-11 16,2498
2014-05-11 17,2462
2014-05-11 18,2279
2014-05-11 19,1827
2014-05-11 20,1423
2014-05-11 21,983
2014-05-11 22,766
2014-05-11 23,417
2014-05-12 00,219
2014-05-12 01,87
2014-05-12 02,66
2014-05-12 03,30
2014-05-12 04,43
2014-05-12 05,172
2014-05-12 06,794
2014-05-12 07,1738
2014-05-12 08,3099
2014-05-12 09,2120
2014-05-12 10,1183
2014-05-12 11,1078
2014-05-12 12,1382
2014-05-12 13,1497
2014-05-12 14,1501
2014-05-12 15,1563
2014-05-12 16,2034
2014-05-12 17,3447
2014-05-12 18,3407
2014-05-12 19,2343
2014-05-12 20,1554
2014-05-12 21,1057
2014-05-12 22,767
2014-05-12 23,463
2014-05-13 00,226
2014-05-13 01,124
2014-05-13 02,87
2014-05-13 03,42
2014-05-13 04,61
2014-05-13 05,201
2014-05-13 06,923
2014-05-13 07,1882
2014-05-13 08,3114
2014-05-13 09,2276
2014-05-13 10,1200
2014-05-13 11,1150
2014-05-13 12,1481
2014-05-13 13,1570
2014-05-13 14,1583
2014-05-13 15,1706
2014-05-13 16,2034
2014-05-13 17,3551
2014-05-13 18,3679
2014-05-13 19,2493
2014-05-13 20,1474
2014-05-13 21,882
2014-05-13 22,717
2014-05-13 23,391
2014-05-14 00,199
2014-05-14 01,111
2014-05-14 02,58
2014-05-14 03,27
2014-05-14 04,48
2014-05-14 05,197
2014-05-14 06,796
2014-05-14 07,1703
2014-05-14 08,3003
2014-05-14 09,2183
2014-05-14 10,1097
2014-05-14 11,1108
2014-05-14 12,1354
2014-05-14 13,1532
2014-05-14 14,1501
2014-05-14 15,1546
2014-05-14 16,1968
2014-05-14 17,3181
2014-05-14 18,3172
2014-05-14 19,1949
2014-05-14 20,1235
2014-05-14 21,901
2014-05-14 22,706
2014-05-14 23,469
2014-05-15 00,211
2014-05-15 01,60
2014-05-15 02,26
2014-05-15 03,19
2014-05-15 04,33
2014-05-15 05,119
2014-05-15 06,374
2014-05-15 07,1000
2014-05-15 08,2375
2014-05-15 09,1890
2014-05-15 10,1082
2014-05-15 11,736
2014-05-15 12,819
2014-05-15 13,1034
2014-05-15 14,1162
2014-05-15 15,1394
2014-05-15 16,1825
2014-05-15 17,3162
2014-05-15 18,2998
2014-05-15 19,2080
2014-05-15 20,1409
2014-05-15 21,987
2014-05-15 22,744
2014-05-15 23,518
2014-05-16 00,277
2014-05-16 01,151
2014-05-16 02,56
2014-05-16 03,42
2014-05-16 04,42
2014-05-16 05,157
2014-05-16 06,632
2014-05-16 07,1315
2014-05-16 08,2536
2014-05-16 09,2002
2014-05-16 10,1064
2014-05-16 11,1050
2014-05-16 12,1105
2014-05-16 13,858
2014-05-16 14,504
2014-05-16 15,692
2014-05-16 16,989
2014-05-16 17,1323
2014-05-16 18,1463
2014-05-16 19,946
2014-05-16 20,148
2014-05-16 21,182
2014-05-16 22,61
2014-05-16 23,189
2014-05-17 00,231
2014-05-17 01,138
2014-05-17 02,106
2014-05-17 03,81
2014-05-17 04,58
2014-05-17 05,88
2014-05-17 06,164
2014-05-17 07,318
2014-05-17 08,726
2014-05-17 09,1236
2014-05-17 10,1691
2014-05-17 11,2139
2014-05-17 12,2366
2014-05-17 13,2644
2014-05-17 14,2623
2014-05-17 15,2634
2014-05-17 16,2568
2014-05-17 17,2513
2014-05-17 18,2267
2014-05-17 19,1799
2014-05-17 20,1275
2014-05-17 21,867
2014-05-17 22,729
2014-05-17 23,651
2014-05-18 00,499
2014-05-18 01,357
2014-05-18 02,200
2014-05-18 03,108
2014-05-18 04,71
2014-05-18 05,54
2014-05-18 06,115
2014-05-18 07,214
2014-05-18 08,548
2014-05-18 09,975
2014-05-18 10,1437
2014-05-18 11,1946
2014-05-18 12,2256
2014-05-18 13,2415
2014-05-18 14,2389
2014-05-18 15,2448
2014-05-18 16,2356
2014-05-18 17,2342
2014-05-18 18,2188
2014-05-18 19,1657
2014-05-18 20,1216
2014-05-18 21,766
2014-05-18 22,548
2014-05-18 23,331
2014-05-19 00,177
2014-05-19 01,102
2014-05-19 02,53
2014-05-19 03,20
2014-05-19 04,45
2014-05-19 05,178
2014-05-19 06,810
2014-05-19 07,1668
2014-05-19 08,2954
2014-05-19 09,2084
2014-05-19 10,1171
2014-05-19 11,1236
2014-05-19 12,1441
2014-05-19 13,1508
2014-05-19 14,1520
2014-05-19 15,1587
2014-05-19 16,2090
2014-05-19 17,3518
2014-05-19 18,3414
2014-05-19 19,2531
2014-05-19 20,1498
2014-05-19 21,994
2014-05-19 22,669
2014-05-19 23,424
2014-05-20 00,197
2014-05-20 01,112
2014-05-20 02,57
2014-05-20 03,31
2014-05-20 04,41
2014-05-20 05,212
2014-05-20 06,933
2014-05-20 07,1966
2014-05-20 08,3227
2014-05-20 09,2293
2014-05-20 10,1344
2014-05-20 11,1359
2014-05-20 12,1647
2014-05-20 13,1633
2014-05-20 14,1733
2014-05-20 15,1834
2014-05-20 16,2361
2014-05-20 17,3826
2014-05-20 18,3779
2014-05-20 19,2628
2014-05-20 20,1687
2014-05-20 21,1153
2014-05-20 22,933
2014-05-20 23,581
2014-05-21 00,275
2014-05-21 01,158
2014-05-21 02,68
2014-05-21 03,48
2014-05-21 04,50
2014-05-21 05,227
2014-05-21 06,948
2014-05-21 07,1907
2014-05-21 08,3298
2014-05-21 09,2362
2014-05-21 10,1258
2014-05-21 11,1265
2014-05-21 12,1564
2014-05-21 13,1618
2014-05-21 14,1510
2014-05-21 15,1777
2014-05-21 16,2214
2014-05-21 17,3563
2014-05-21 18,3641
2014-05-21 19,2473
2014-05-21 20,1659
2014-05-21 21,1136
2014-05-21 22,881
2014-05-21 23,520
2014-05-22 00,291
2014-05-22 01,154
2014-05-22 02,84
2014-05-22 03,22
2014-05-22 04,12
2014-05-22 05,112
2014-05-22 06,384
2014-05-22 07,1216
2014-05-22 08,2560
2014-05-22 09,2120
2014-05-22 10,1215
2014-05-22 11,771
2014-05-22 12,1208
2014-05-22 13,1271
2014-05-22 14,1302
2014-05-22 15,1533
2014-05-22 16,1836
2014-05-22 17,2861
2014-05-22 18,1084
2014-05-22 19,1506
2014-05-22 20,1174
2014-05-22 21,798
2014-05-22 22,555
2014-05-22 23,466
2014-05-23 00,249
2014-05-23 01,148
2014-05-23 02,73
2014-05-23 03,39
2014-05-23 04,49
2014-05-23 05,152
2014-05-23 06,685
2014-05-23 07,1376
2014-05-23 08,2635
2014-05-23 09,2040
2014-05-23 10,1157
2014-05-23 11,1289
2014-05-23 12,1497
2014-05-23 13,1952
2014-05-23 14,2194
2014-05-23 15,1960
2014-05-23 16,1672
2014-05-23 17,1844
2014-05-23 18,2146
2014-05-23 19,1028
2014-05-23 20,91
2014-05-23 21,63
2014-05-23 22,93
2014-05-23 23,52
2014-05-24 00,36
2014-05-24 01,57
2014-05-24 02,69
2014-05-24 03,50
2014-05-24 04,49
2014-05-24 05,53
2014-05-24 06,133
2014-05-24 07,211
2014-05-24 08,444
2014-05-24 09,814
2014-05-24 10,1163
2014-05-24 11,1586
2014-05-24 12,1711
2014-05-24 13,1935
2014-05-24 14,1859
2014-05-24 15,1824
2014-05-24 16,1356
2014-05-24 17,240
2014-05-24 18,421
2014-05-24 19,742
2014-05-24 20,681
2014-05-24 21,516
2014-05-24 22,451
2014-05-24 23,397
2014-05-25 00,268
2014-05-25 01,203
2014-05-25 02,135
2014-05-25 03,86
2014-05-25 04,61
2014-05-25 05,35
2014-05-25 06,106
2014-05-25 07,202
2014-05-25 08,447
2014-05-25 09,816
2014-05-25 10,1366
2014-05-25 11,1680
2014-05-25 12,1950
2014-05-25 13,2148
2014-05-25 14,2222
2014-05-25 15,2267
2014-05-25 16,2219
2014-05-25 17,2152
2014-05-25 18,1948
2014-05-25 19,1793
2014-05-25 20,1191
2014-05-25 21,985
2014-05-25 22,746
2014-05-25 23,611
2014-05-26 00,401
2014-05-26 01,254
2014-05-26 02,142
2014-05-26 03,94
2014-05-26 04,52
2014-05-26 05,47
2014-05-26 06,117
2014-05-26 07,246
2014-05-26 08,559
2014-05-26 09,928
2014-05-26 10,1345
2014-05-26 11,1739
2014-05-26 12,2033
2014-05-26 13,2224
2014-05-26 14,2235
2014-05-26 15,2275
2014-05-26 16,2252
2014-05-26 17,2224
2014-05-26 18,2211
2014-05-26 19,1856
2014-05-26 20,1395
2014-05-26 21,1042
2014-05-26 22,758
2014-05-26 23,501
2014-05-27 00,268
2014-05-27 01,151
2014-05-27 02,68
2014-05-27 03,24
2014-05-27 04,39
2014-05-27 05,224
2014-05-27 06,859
2014-05-27 07,1838
2014-05-27 08,2934
2014-05-27 09,2167
2014-05-27 10,1240
2014-05-27 11,1212
2014-05-27 12,1424
2014-05-27 13,1476
2014-05-27 14,1382
2014-05-27 15,1644
2014-05-27 16,2140
2014-05-27 17,3709
2014-05-27 18,3597
2014-05-27 19,2603
2014-05-27 20,1580
2014-05-27 21,1063
2014-05-27 22,803
2014-05-27 23,491
2014-05-28 00,281
2014-05-28 01,104
2014-05-28 02,50
2014-05-28 03,38
2014-05-28 04,37
2014-05-28 05,214
2014-05-28 06,883
2014-05-28 07,1688
2014-05-28 08,2938
2014-05-28 09,2132
2014-05-28 10,1115
2014-05-28 11,1090
2014-05-28 12,1277
2014-05-28 13,1333
2014-05-28 14,1403
2014-05-28 15,1485
2014-05-28 16,2016
2014-05-28 17,3213
2014-05-28 18,3101
2014-05-28 19,2113
2014-05-28 20,1329
2014-05-28 21,832
2014-05-28 22,643
2014-05-28 23,375
2014-05-29 00,216
2014-05-29 01,86
2014-05-29 02,49
2014-05-29 03,31
2014-05-29 04,37
2014-05-29 05,204
2014-05-29 06,879
2014-05-29 07,1781
2014-05-29 08,3252
2014-05-29 09,2317
2014-05-29 10,1305
2014-05-29 11,1217
2014-05-29 12,1636
2014-05-29 13,1656
2014-05-29 14,1642
2014-05-29 15,1807
2014-05-29 16,2227
2014-05-29 17,3566
2014-05-29 18,3585
2014-05-29 19,2472
2014-05-29 20,1520
2014-05-29 21,1065
2014-05-29 22,751
2014-05-29 23,588
2014-05-30 00,290
2014-05-30 01,133
2014-05-30 02,53
2014-05-30 03,53
2014-05-30 04,38
2014-05-30 05,183
2014-05-30 06,805
2014-05-30 07,1698
2014-05-30 08,3121
2014-05-30 09,2357
2014-05-30 10,1391
2014-05-30 11,1361
2014-05-30 12,1734
2014-05-30 13,1800
2014-05-30 14,1929
2014-05-30 15,2173
2014-05-30 16,2757
2014-05-30 17,3767
2014-05-30 18,3341
2014-05-30 19,2041
2014-05-30 20,1168
2014-05-30 21,872
2014-05-30 22,692
2014-05-30 23,586
2014-05-31 00,445
2014-05-31 01,285
2014-05-31 02,169
2014-05-31 03,90
2014-05-31 04,63
2014-05-31 05,69
2014-05-31 06,153
2014-05-31 07,309
2014-05-31 08,709
2014-05-31 09,1197
2014-05-31 10,1709
2014-05-31 11,2016
2014-05-31 12,2402
2014-05-31 13,2503
2014-05-31 14,2504
2014-05-31 15,1749
2014-05-31 16,1895
2014-05-31 17,2152
2014-05-31 18,2122
2014-05-31 19,1781
2014-05-31 20,1298
2014-05-31 21,854
2014-05-31 22,680
2014-05-31 23,580
2014-06-01 00,416
2014-06-01 01,290
2014-06-01 02,160
2014-06-01 03,105
2014-06-01 04,64
2014-06-01 05,58
2014-06-01 06,125
2014-06-01 07,247
2014-06-01 08,571
2014-06-01 09,1057
2014-06-01 10,1601
2014-06-01 11,2020
2014-06-01 12,2485
2014-06-01 13,2574
2014-06-01 14,2821
2014-06-01 15,2869
2014-06-01 16,2819
2014-06-01 17,2805
2014-06-01 18,2495
2014-06-01 19,2056
2014-06-01 20,1541
2014-06-01 21,978
2014-06-01 22,727
2014-06-01 23,449
2014-06-02 00,200
2014-06-02 01,112
2014-06-02 02,36
2014-06-02 03,26
2014-06-02 04,43
2014-06-02 05,207
2014-06-02 06,913
2014-06-02 07,1916
2014-06-02 08,2866
2014-06-02 09,2163
2014-06-02 10,1193
2014-06-02 11,1228
2014-06-02 12,1521
2014-06-02 13,1496
2014-06-02 14,1625
2014-06-02 15,1800
2014-06-02 16,2228
2014-06-02 17,3755
2014-06-02 18,3888
2014-06-02 19,2803
2014-06-02 20,1870
2014-06-02 21,1300
2014-06-02 22,805
2014-06-02 23,525
2014-06-03 00,220
2014-06-03 01,104
2014-06-03 02,62
2014-06-03 03,31
2014-06-03 04,47
2014-06-03 05,222
2014-06-03 06,1016
2014-06-03 07,2159
2014-06-03 08,3430
2014-06-03 09,2471
2014-06-03 10,1306
2014-06-03 11,1384
2014-06-03 12,1604
2014-06-03 13,1551
2014-06-03 14,1576
2014-06-03 15,1741
2014-06-03 16,2235
2014-06-03 17,2994
2014-06-03 18,609
2014-06-03 19,1201
2014-06-03 20,1237
2014-06-03 21,1015
2014-06-03 22,774
2014-06-03 23,512
2014-06-04 00,291
2014-06-04 01,111
2014-06-04 02,57
2014-06-04 03,27
2014-06-04 04,49
2014-06-04 05,242
2014-06-04 06,1032
2014-06-04 07,2093
2014-06-04 08,3197
2014-06-04 09,2385
2014-06-04 10,1357
2014-06-04 11,1252
2014-06-04 12,1566
2014-06-04 13,1669
2014-06-04 14,1638
2014-06-04 15,1794
2014-06-04 16,2271
2014-06-04 17,3791
2014-06-04 18,3730
2014-06-04 19,2739
2014-06-04 20,1844
2014-06-04 21,1262
2014-06-04 22,972
2014-06-04 23,699
2014-06-05 00,291
2014-06-05 01,107
2014-06-05 02,44
2014-06-05 03,22
2014-06-05 04,24
2014-06-05 05,50
2014-06-05 06,152
2014-06-05 07,354
2014-06-05 08,714
2014-06-05 09,318
2014-06-05 10,264
2014-06-05 11,603
2014-06-05 12,1011
2014-06-05 13,1335
2014-06-05 14,1527
2014-06-05 15,1662
2014-06-05 16,2083
2014-06-05 17,3298
2014-06-05 18,3366
2014-06-05 19,2647
2014-06-05 20,1824
2014-06-05 21,1267
2014-06-05 22,950
2014-06-05 23,706
2014-06-06 00,426
2014-06-06 01,198
2014-06-06 02,110
2014-06-06 03,47
2014-06-06 04,59
2014-06-06 05,194
2014-06-06 06,869
2014-06-06 07,1797
2014-06-06 08,3238
2014-06-06 09,2434
2014-06-06 10,1558
2014-06-06 11,1569
2014-06-06 12,1904
2014-06-06 13,2153
2014-06-06 14,2243
2014-06-06 15,2354
2014-06-06 16,2853
2014-06-06 17,3729
2014-06-06 18,3190
2014-06-06 19,2371
2014-06-06 20,1629
2014-06-06 21,1094
2014-06-06 22,905
2014-06-06 23,795
2014-06-07 00,554
2014-06-07 01,340
2014-06-07 02,212
2014-06-07 03,105
2014-06-07 04,76
2014-06-07 05,70
2014-06-07 06,181
2014-06-07 07,466
2014-06-07 08,802
2014-06-07 09,1292
2014-06-07 10,1707
2014-06-07 11,2031
2014-06-07 12,2414
2014-06-07 13,2628
2014-06-07 14,2561
2014-06-07 15,2572
2014-06-07 16,2467
2014-06-07 17,2432
2014-06-07 18,2220
2014-06-07 19,1934
2014-06-07 20,1535
2014-06-07 21,1021
2014-06-07 22,836
2014-06-07 23,748
2014-06-08 00,626
2014-06-08 01,383
2014-06-08 02,285
2014-06-08 03,161
2014-06-08 04,112
2014-06-08 05,55
2014-06-08 06,137
2014-06-08 07,258
2014-06-08 08,591
2014-06-08 09,1116
2014-06-08 10,1604
2014-06-08 11,1944
2014-06-08 12,2232
2014-06-08 13,2517
2014-06-08 14,2583
2014-06-08 15,2590
2014-06-08 16,2577
2014-06-08 17,2462
2014-06-08 18,2367
2014-06-08 19,1864
2014-06-08 20,1389
2014-06-08 21,980
2014-06-08 22,792
2014-06-08 23,537
2014-06-09 00,259
2014-06-09 01,108
2014-06-09 02,57
2014-06-09 03,32
2014-06-09 04,20
2014-06-09 05,33
2014-06-09 06,121
2014-06-09 07,200
2014-06-09 08,276
2014-06-09 09,205
2014-06-09 10,287
2014-06-09 11,400
2014-06-09 12,754
2014-06-09 13,970
2014-06-09 14,1126
2014-06-09 15,1313
2014-06-09 16,1637
2014-06-09 17,2705
2014-06-09 18,2836
2014-06-09 19,1976
2014-06-09 20,1274
2014-06-09 21,869
2014-06-09 22,708
2014-06-09 23,445
2014-06-10 00,212
2014-06-10 01,109
2014-06-10 02,46
2014-06-10 03,24
2014-06-10 04,38
2014-06-10 05,200
2014-06-10 06,877
2014-06-10 07,1696
2014-06-10 08,3015
2014-06-10 09,2212
2014-06-10 10,1229
2014-06-10 11,1236
2014-06-10 12,1377
2014-06-10 13,1400
2014-06-10 14,1568
2014-06-10 15,1603
2014-06-10 16,2208
2014-06-10 17,3680
2014-06-10 18,3720
2014-06-10 19,2567
2014-06-10 20,1799
2014-06-10 21,1181
2014-06-10 22,851
2014-06-10 23,587
2014-06-11 00,283
2014-06-11 01,123
2014-06-11 02,38
2014-06-11 03,34
2014-06-11 04,48
2014-06-11 05,141
2014-06-11 06,501
2014-06-11 07,1009
2014-06-11 08,2510
2014-06-11 09,1936
2014-06-11 10,1211
2014-06-11 11,1186
2014-06-11 12,1408
2014-06-11 13,1458
2014-06-11 14,1548
2014-06-11 15,1663
2014-06-11 16,2024
2014-06-11 17,3219
2014-06-11 18,3405
2014-06-11 19,2443
2014-06-11 20,1748
2014-06-11 21,1132
2014-06-11 22,827
2014-06-11 23,653
2014-06-12 00,264
2014-06-12 01,158
2014-06-12 02,43
2014-06-12 03,24
2014-06-12 04,36
2014-06-12 05,192
2014-06-12 06,733
2014-06-12 07,1277
2014-06-12 08,2285
2014-06-12 09,2088
2014-06-12 10,998
2014-06-12 11,1067
2014-06-12 12,1302
2014-06-12 13,1355
2014-06-12 14,1462
2014-06-12 15,1695
2014-06-12 16,2055
2014-06-12 17,2928
2014-06-12 18,3360
2014-06-12 19,2218
2014-06-12 20,1319
2014-06-12 21,976
2014-06-12 22,728
2014-06-12 23,521
2014-06-13 00,221
2014-06-13 01,73
2014-06-13 02,30
2014-06-13 03,16
2014-06-13 04,30
2014-06-13 05,110
2014-06-13 06,368
2014-06-13 07,980
2014-06-13 08,1171
2014-06-13 09,250
2014-06-13 10,443
2014-06-13 11,763
2014-06-13 12,1291
2014-06-13 13,1551
2014-06-13 14,1795
2014-06-13 15,1837
2014-06-13 16,2306
2014-06-13 17,2721
2014-06-13 18,191
2014-06-13 19,286
2014-06-13 20,426
2014-06-13 21,552
2014-06-13 22,480
2014-06-13 23,417
2014-06-14 00,349
2014-06-14 01,234
2014-06-14 02,140
2014-06-14 03,99
2014-06-14 04,78
2014-06-14 05,60
2014-06-14 06,151
2014-06-14 07,323
2014-06-14 08,730
2014-06-14 09,1225
2014-06-14 10,1747
2014-06-14 11,2095
2014-06-14 12,2209
2014-06-14 13,2437
2014-06-14 14,2480
2014-06-14 15,2444
2014-06-14 16,2484
2014-06-14 17,2449
2014-06-14 18,1830
2014-06-14 19,1352
2014-06-14 20,1421
2014-06-14 21,817
2014-06-14 22,669
2014-06-14 23,594
2014-06-15 00,444
2014-06-15 01,220
2014-06-15 02,202
2014-06-15 03,110
2014-06-15 04,62
2014-06-15 05,60
2014-06-15 06,112
2014-06-15 07,299
2014-06-15 08,557
2014-06-15 09,989
2014-06-15 10,1447
2014-06-15 11,1901
2014-06-15 12,2146
2014-06-15 13,2303
2014-06-15 14,2455
2014-06-15 15,2330
2014-06-15 16,2335
2014-06-15 17,2408
2014-06-15 18,2171
2014-06-15 19,1853
2014-06-15 20,1612
2014-06-15 21,1047
2014-06-15 22,796
2014-06-15 23,523
2014-06-16 00,236
2014-06-16 01,117
2014-06-16 02,68
2014-06-16 03,27
2014-06-16 04,34
2014-06-16 05,226
2014-06-16 06,876
2014-06-16 07,1746
2014-06-16 08,2980
2014-06-16 09,2174
2014-06-16 10,1158
2014-06-16 11,1231
2014-06-16 12,1446
2014-06-16 13,1474
2014-06-16 14,1686
2014-06-16 15,1821
2014-06-16 16,2249
2014-06-16 17,4282
2014-06-16 18,3558
2014-06-16 19,2350
2014-06-16 20,2323
2014-06-16 21,1329
2014-06-16 22,985
2014-06-16 23,556
2014-06-17 00,272
2014-06-17 01,110
2014-06-17 02,70
2014-06-17 03,30
2014-06-17 04,37
2014-06-17 05,239
2014-06-17 06,985
2014-06-17 07,1967
2014-06-17 08,3358
2014-06-17 09,2350
2014-06-17 10,1320
2014-06-17 11,1239
2014-06-17 12,1560
2014-06-17 13,1521
2014-06-17 14,1621
2014-06-17 15,1548
2014-06-17 16,2051
2014-06-17 17,3803
2014-06-17 18,3609
2014-06-17 19,2612
2014-06-17 20,1935
2014-06-17 21,1381
2014-06-17 22,888
2014-06-17 23,591
2014-06-18 00,278
2014-06-18 01,135
2014-06-18 02,78
2014-06-18 03,61
2014-06-18 04,58
2014-06-18 05,218
2014-06-18 06,974
2014-06-18 07,1861
2014-06-18 08,3240
2014-06-18 09,2434
2014-06-18 10,1414
2014-06-18 11,1317
2014-06-18 12,1465
2014-06-18 13,1457
2014-06-18 14,1587
2014-06-18 15,1555
2014-06-18 16,2045
2014-06-18 17,3611
2014-06-18 18,3776
2014-06-18 19,2813
2014-06-18 20,2017
2014-06-18 21,1414
2014-06-18 22,1062
2014-06-18 23,661
2014-06-19 00,360
2014-06-19 01,168
2014-06-19 02,79
2014-06-19 03,42
2014-06-19 04,54
2014-06-19 05,229
2014-06-19 06,872
2014-06-19 07,1738
2014-06-19 08,2930
2014-06-19 09,2211
2014-06-19 10,1218
2014-06-19 11,1097
2014-06-19 12,1353
2014-06-19 13,1306
2014-06-19 14,915
2014-06-19 15,1293
2014-06-19 16,1913
2014-06-19 17,3571
2014-06-19 18,3595
2014-06-19 19,2529
2014-06-19 20,1916
2014-06-19 21,895
2014-06-19 22,828
2014-06-19 23,612
2014-06-20 00,404
2014-06-20 01,192
2014-06-20 02,117
2014-06-20 03,67
2014-06-20 04,57
2014-06-20 05,176
2014-06-20 06,811
2014-06-20 07,1684
2014-06-20 08,2909
2014-06-20 09,2372
2014-06-20 10,1456
2014-06-20 11,1416
2014-06-20 12,1671
2014-06-20 13,1786
2014-06-20 14,2009
2014-06-20 15,2162
2014-06-20 16,2632
2014-06-20 17,3347
2014-06-20 18,2900
2014-06-20 19,2095
2014-06-20 20,1562
2014-06-20 21,1091
2014-06-20 22,820
2014-06-20 23,669
2014-06-21 00,495
2014-06-21 01,358
2014-06-21 02,179
2014-06-21 03,96
2014-06-21 04,76
2014-06-21 05,71
2014-06-21 06,170
2014-06-21 07,364
2014-06-21 08,786
2014-06-21 09,1310
2014-06-21 10,1739
2014-06-21 11,2036
2014-06-21 12,2269
2014-06-21 13,2271
